session_esm,modified_esm,ended_esm,created_esm,sleep_1,sleep_2,sad,calm,afraid,unrested,enthusiastic,angry,worried,subc_psycho,cheerful,irritated,active,event_pleasantness,homeo_hungry,homeo_craving,homeo_howmuch,homeo_full,eating_1,eating_2,eating_3,eating_4,alcohol,coffee,ple_control,ple_strange,ple_thoughts,ple_suspicion,ple_treatment,ple_perception,ple_thougtscontrol,ple_familiarstrange
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-23T08:28:03Z,2021-03-23T08:28:03Z,2021-03-23T08:20:53Z,7,7,6,1,3,6,3,6,6,6,1,6,6,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-23T08:32:26Z,2021-03-23T08:32:26Z,2021-03-23T08:30:03Z,4,8,5,2,1,5,3,4,3,5,3,5,4,3,2,4,4,2,4,2,4,2,NA,NA,5,5,2,5,3,2,5,2
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-23T08:38:19Z,2021-03-23T08:38:19Z,2021-03-23T08:36:32Z,8,8,5,2,3,4,5,3,2,2,2,6,5,6,4,4,4,1,1,1,1,1,0,0,3,5,2,5,2,3,6,5
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-23T10:14:59Z,2021-03-23T10:14:59Z,2021-03-23T10:13:13Z,NA,NA,2,3,2,3,5,1,4,2,3,3,6,4,4,3,1,2,3,2,2,4,0,0,2,6,2,5,5,2,2,6
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-23T10:21:11Z,2021-03-23T10:21:11Z,2021-03-23T10:18:58Z,NA,NA,6,1,3,6,1,6,6,6,1,6,6,1,1,1,2,2,1,2,1,1,0,1,7,1,1,7,7,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-23T12:15:52Z,2021-03-23T12:15:52Z,2021-03-23T12:11:17Z,NA,NA,1,4,1,4,4,4,4,4,4,4,6,4,5,2,2,1,1,1,1,1,0,0,1,1,1,2,4,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-23T12:30:55Z,2021-03-23T12:30:55Z,2021-03-23T12:29:33Z,NA,NA,1,5,1,1,3,3,4,2,3,4,3,4,4,4,2,2,2,3,4,2,NA,NA,6,6,3,4,3,5,4,4
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-23T16:10:03Z,2021-03-23T16:10:03Z,2021-03-23T16:08:51Z,NA,NA,2,5,2,2,4,5,4,5,2,2,4,2,3,4,2,4,1,3,2,2,0,0,2,5,3,5,2,5,2,5
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-23T16:36:30Z,2021-03-23T16:36:30Z,2021-03-23T16:33:57Z,NA,NA,2,4,1,6,4,5,3,6,1,4,6,2,3,2,2,1,1,3,3,1,0,0,1,1,1,7,4,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-23T22:14:14Z,2021-03-23T22:14:14Z,2021-03-23T22:09:10Z,NA,NA,4,3,1,3,3,5,6,5,1,2,5,1,2,4,3,4,2,1,2,3,0,0,1,1,1,5,6,1,1,1
