"session","created","modified","ended","expired","time","time_since","alvas_1","alvas_2","sad","calm","afraid","unrested","enthusiastic","angry","worried","subc_psycho","cheerfull","irritated","active","event_pleasantness","homeo_ehes","homeo_vagy","homeo_mennyittudna","homeo_telitettseg","eating1","eating2","eating3","eating4","alcohol1","smoke1","coffee1","ple_iranyitas","ple_furcsa","ple_gondolat","ple_gyanakvas","ple_banasmod","ple_latashallas","ple_gondolatiranyitas","ple_ismerosisfura","time_starting_point","time_since_starting_point","cogtasks_decide"
"","2021-02-18 20:55:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 20:58:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 20:58:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 20:59:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 21:00:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 21:01:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 21:02:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 21:06:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 21:13:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 23:39:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 23:40:41","2021-02-19 09:24:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 23:47:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 23:47:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-18 23:49:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 00:10:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 00:12:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 09:41:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 09:45:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 11:25:49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 11:26:44","2021-02-23 15:16:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 17:53:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 17:55:16","2021-02-22 10:27:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 21:08:53","2021-02-19 21:09:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 21:10:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 21:11:29","","2021-02-19 21:11:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 21:12:41","2021-02-19 21:13:36","","","","","0","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","",""
"","2021-02-19 21:22:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-19 21:23:53","2021-02-19 21:24:14","","","","","0","8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","",""
"","2021-02-22 12:42:21","2021-02-22 12:45:25","","","","","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-02 12:11:32","2021-03-02 12:13:52","2021-03-02 12:13:52","","","","","","1","4","1","1","4","1","3","1","4","1","4","6","3","5","4","1","1","1","1","1","","","","1","3","6","1","4","5","3","6","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-02 14:20:26","2021-03-02 14:21:11","2021-03-02 14:21:11","","","","","","1","4","5","3","4","5","5","2","5","2","5","5","5","2","4","3","5","5","5","5","","","","1","4","2","6","3","5","3","6","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-02 16:35:06","2021-03-02 16:37:38","2021-03-02 16:37:38","","","","","","1","4","1","1","4","1","2","1","4","1","4","5","2","2","2","1","1","1","1","1","","","","1","1","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-02 20:07:43","2021-03-02 20:09:09","2021-03-02 20:09:09","","","","","","1","5","1","2","3","1","2","1","4","1","1","5","3","2","2","3","2","1","3","1","","","","1","1","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-03 10:27:14","2021-03-03 10:52:48","2021-03-03 10:52:48","","","","7","7","1","4","1","3","4","1","3","1","4","1","4","5","1","1","1","3","3","2","3","1","","","","1","1","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-03 11:58:48","2021-03-03 12:01:13","2021-03-03 12:01:13","","","","7","7","1","4","1","2","4","1","2","1","4","1","5","5","1","1","2","2","1","1","1","1","","","","1","1","1","1","1","1","1","1","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-03 16:10:33","2021-03-03 16:11:41","2021-03-03 16:11:41","","","","","","4","2","6","2","6","3","4","5","5","4","2","6","2","3","2","2","1","1","2","2","","","","1","3","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-03 18:05:27","2021-03-03 18:08:37","2021-03-03 18:08:37","","","","","","4","4","1","3","3","5","3","1","2","5","4","1","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","1","1","1","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-03 18:15:36","2021-03-03 18:16:28","2021-03-03 18:16:28","","","","","","1","5","3","6","2","4","4","4","2","5","3","6","4","2","4","2","4","3","2","4","","","","3","6","3","5","3","6","3","6","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-03 20:41:11","2021-03-03 20:43:07","2021-03-03 20:43:07","","","","","","2","4","1","3","3","2","2","1","5","2","3","6","1","1","2","3","4","2","3","2","","","","1","1","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-04 10:13:16","2021-03-04 10:14:53","2021-03-04 10:14:53","","","","6","6","2","3","1","4","2","1","4","1","2","1","2","4","1","1","1","3","1","3","3","1","","","","1","1","1","1","1","1","1","1","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-04 16:11:58","2021-03-04 16:13:07","2021-03-04 16:13:07","","","","","","2","3","5","3","4","3","4","3","4","4","2","3","4","5","5","1","1","2","1","2","","","","1","4","1","4","3","6","4","6","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-04 18:25:47","2021-03-04 18:26:32","2021-03-04 18:26:32","","","","","","3","5","2","5","3","4","2","5","2","5","2","6","4","3","2","4","3","3","4","2","","","","1","5","2","6","3","5","3","5","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-05 14:08:46","2021-03-05 14:09:39","2021-03-05 14:09:39","","20","1","","","2","4","2","4","2","4","5","5","2","5","3","2","3","2","3","3","1","4","2","1","","","","5","7","5","2","2","5","2","1","","",""
"ghlX-HJ5tB4pbu4REkBbaKuthEhIpBWjBVcSd0MQ3JjkT3f-jXopg5HJXfbdXaVI","2021-03-05 18:25:30","2021-03-05 18:27:01","2021-03-05 18:27:01","","4","0","","","2","5","4","2","4","3","4","2","5","5","2","3","3","4","2","4","2","2","1","1","","","","1","1","1","1","1","2","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-05 21:13:57","2021-03-05 21:15:17","2021-03-05 21:15:17","","35","1","","","1","4","2","3","5","1","2","1","5","1","4","7","1","1","1","3","2","1","2","3","","","","1","1","1","1","1","1","1","1","","",""
"7wuwvagqfnlWn6qpT2J0v1a6CZ1x5ESr9_criuXieDAjoBWVPEePYTLO1c4OTdIa","2021-03-06 16:08:48","2021-03-06 16:23:04","","2021-03-06 16:58:58","1","1","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
